,ID,Name
99,0105548155520,เอเบิ้ล โลจิสติกส์ จำกัด
100,0205555015915,เอ บี แอล โลจีสติกส์ จำกัด
101,0905559001564,เอ.บี.แอล. ลอจิสติกส์ จำกัด
102,0205564036831,เอ.บี.เอ็ม อินฟินิกส์ โลจิสติกส์ จำกัด
103,0205562006063,เอ.บี.โปร เอ็กซ์เพรส โลจิสติกส์ จำกัด
104,0205557025799,เอ.บี.โปร โลจิสติกส์ จำกัด
105,0135560014388,เอบีอาร์ คาร์โก้ แอนด์ โลจิสติกส์ จำกัด
106,0105556148138,แอ็บโซลูท โลจิสติกส์ โซลูชั่น จำกัด
107,0113563005493,แอบโซลูทเพอร์เฟ็กต์โพรไวเดอร์โลจิสติกส์
108,0115564018141,แอปโซลูท พลัส โลจิสติกส์ จำกัด
109,0105555100760,โชคดี ทวีทรัพย์ ขนส่ง  จำกัด
110,0905566001680,เอซีเอ โลจิสติกส์ จำกัด
111,0905557003152,เอซเซลเล่  โลจิสติค จำกัด
112,0105554117383,แอ็คเซ็ส โลจิสติกส์ จำกัด
113,0105545101062,แอคเซส เวิลด์ โลจิสติกส์ (ประเทศไทย)  จำกัด
114,0105555083288,เอ ซี ซี โลจิสติกส์ จำกัด
115,0105553152681,เอ.ซี.ดี. โลจิสติคส์ จำกัด
116,0105563166219,เอซ โกลบอล โลจิสติกส์ จำกัด
117,0105565097192,เอซีอี โลจิสติกส์ (ประเทศไทย) จำกัด
118,0463547000722,อาชา โลจิสติคส์
119,0145564003224,อาชาวิน โลจิสติกส์ จำกัด
120,0105565076926,อะชีฟ เชน โลจิสติกส์ จำกัด
121,0905551001174,อะชีว์ฟ โลจิสติกส์ จำกัด
122,0343562000674,เอชิน อิเลคทริค แอนด์ โลจิสติกส์
123,0843564000791,อชิรัตน์โลจิสติกส์
124,0315553000413,อชิรญา โลจิสติกส์ จำกัด
125,0105555099753,เอซีแอล โลจิสติกส์ จำกัด
126,0125563013579,เอซี โลจิสติคแอนด์โซลูชั่น จำกัด
127,0125564000535,เอ ซี โลจิสติกส์  แอนด์ ทรานสปอร์ต จำกัด
128,0113557002542,เอ.ซี.มอเตอร์ โลจิสติกส์
129,0105549034297,เอ. ซี. เอ็น. โลจิสติกส์  จำกัด
130,0105558157819,เอคอมเมิร์ซ โลจิสติกส์ จำกัด
131,0105545024581,แอคคอนนิค โลจิสติกส์ จำกัด
132,0505562005731,เอคอน เวิลด์ไวด์ โลจิสติกส์ (ไทยแลนด์) จำกัด
133,0105566196151,เอ.ซี.พี. โลจิสติกส์ จำกัด
134,0133553008015,แอครี่ โลจิสติกส์
135,0635560000421,แอคชั่น อินเตอร์ โลจิสติกส์ จำกัด
136,0105541009161,แอ็คทีฟ โลจิสติกส์ จำกัด
137,0245559000378,แอคทีฟ เซอร์วิส แอนด์ โลจิสติกส์ จำกัด
138,0105556148880,อะคูเท็คท์ โกลบอล โลจิสติกส์ จำกัด
139,0123566003327,เอด้าโลจิสติกส์
140,0105559035342,อดัม โลจิสติกส์ จำกัด
141,0105553149028,แอด บาย โลจิสติกส์ เซอร์วิส จำกัด
142,0115565022150,เอดีดี โลจิสติกส์ จำกัด
143,0105555184840,เอ ดี ไอ โกลบอล โลจิสติกส์ จำกัด
144,0105559093067,อดิทัต479 โลจิสติกส์ จำกัด
145,0155565000504,เอดีเค โลจิสติกส์ จำกัด
146,0105559151431,เอ ดี แอล เอเชีย โลจิสติกส์ จำกัด
147,0205555036939,เอดีแอล โลจิสติกส์ เซอร์วิส จำกัด
148,0103555054855,เอแอนด์ดี โลจิสติกส์
149,0905557003161,เอดีเอส โลจิสติคส์ จำกัด
150,0105551087475,แอ๊ดวานซ์ อัลไลแอนซ์ โลจิสติกส์ จำกัด
151,0105560211353,แอดวานซ์ โลจิสติกส์ (ประเทศไทย) จำกัด
152,0105559103330,แอ๊ดวานซ์ โลจิสติก เซอร์วิส จำกัด
153,0105549071354,แอดว๊านซ์ โลจิสติกส์ ไลน์ จำกัด
154,0105549085193,แอดวานซ์ มารีน โลจิสติกส์ จำกัด
155,0115554003540,แอดวานซ์ เซอร์วิส แอนด์ โลจิสติคส์ จำกัด
156,0105565004950,แอดวานซ์ เซอร์วิส โลจิสติกส์ จำกัด
157,0133563002818,แอดวานซ์ สปีด โลจิสติกส์
158,0705562000834,เออีซี 2019 โลจิสติกส์ ไทย จำกัด
159,0905557000960,เออีซี บอร์เดอร์ โลจิสติกส์ จำกัด
160,0245558002733,เอ.อี.ซี โลจิสติกส์ แอนด์ เซอร์วิสเซส จำกัด
161,0105554109976,เออีซี โลจิสติกส์ จำกัด
162,0553562000443,เออีซีน่านนคร โลจิสติกส์
163,0205558006747,เออีซีสยาม โลจิสติกส์ จำกัด
164,0205560001242,เออีซี เวิลด์ โลจิสติกส์ จำกัด
165,0135557000711,เอกอนุ โลจิสติก จำกัด
166,0195553000873,เอกชัยรุ่งเรือง โลจิสติกส์ จำกัด
167,0115561013024,เอ.อี.โอ. โลจิสติกส์ จำกัด
168,0105546085923,แอโรเชี่ยน โลจิสติคส์ จำกัด
169,0125549000732,แอโร่ ไทย โลจิสติกส์ จำกัด
170,0905559000363,อัฟฟา โลจิสติกส์  จำกัด
171,0105563094439,เอ เอฟ โกรว์ โลจิสติกส์ จำกัด
172,0105561167374,เอ.เอฟ.แอล โลจิสติกส์ จำกัด
173,0135565023822,เอ เอฟ โลจิสติกส์ จำกัด
174,0575559000723,เอเอฟอาร์ โลจิสติกส์ จำกัด
175,0105560158401,เอจีอี มารีน โลจิสติกส์ จำกัด
176,0745563000901,เอ จี ไอ โลจิสติกส์ จำกัด
177,0205565028106,เอ.จี.โลจิสติกส์ จำกัด
178,0105565141400,เอจีเอ็น อินเตอร์เนชั่นแนล โลจิสติกส์ (ไทยแลนด์) จำกัด
179,0115556011621,เอ.จี.โอ. โลจิสติกส์ จำกัด
180,0163566000417,เกษตรธงชัยโลจิสติกส์
181,0105551103845,เอจีที โลจิสติกส์ (ประเทศไทย)  จำกัด
182,0105564106651,เอจีวี.โลจิสติกส์ จำกัด
183,0493565000372,อาเฮงเจริญ โลจิสติกส์
184,0115553007819,เอไอเอ โลจิสติกส์ จำกัด
185,0105556174431,ไอไค โลจิสติกส์ (ประเทศไทย) จำกัด
186,0135564009915,ไอลีน ฟ๊อกซ์ โลจิสติกส์ จำกัด
187,0125566037223,เอไอ โลจิสติกส์คอนซัลแตนท์ จำกัด
188,0105563165921,เอไอ มารีน ชิปปิ้ง แอนด์ โลจิสติกส์ จำกัด
189,0105560170754,เอม  โลจิสติคส์ จำกัด
190,0125565016842,เอม พาส โลจิสติกส์ จำกัด
191,0215551000662,ไอเพค โลจิสทิคส์ (ประเทศไทย) จำกัด
192,0135543004981,แอร์คาร์โก้ โลจิสติกส์ (2000) จำกัด
193,0105563013081,แอร์เฟิร์สวันโลจิสติกส์ จำกัด
194,0205559027438,แอร์ เมลล์ โลจิสติกส์ จำกัด
195,0115556020000,แอร์มาสเตอร์ โลจิสติกส์ จำกัด
196,0105565096617,แอร์แม็กซ์ อินเตอร์เนชั่นแนล โลจิสติกส์ ( ประเทศไทย ) จำกัด
197,0105544089018,แอร์รีน โลจิสติคส์ จำกัด
198,0435562000926,อ้ายตา โลจีสติกส์ จำกัด
199,0115564023535,เอไอที โลจิสติคส์ จำกัด
200,0105559154945,เอ แจ่มแจ้ง โลจิสติกส์ จำกัด
201,0115566004449,เอเจเจ โลจิสติกส์ จำกัด
202,0245566003361,เอ เจ แอล โลจิสติกส์ จำกัด
203,0193551000131,เอ.เจ. โลจิสติกส์
204,0103565004648,เอเจ ปากน้ำโพ โลจิสติกส์
205,0105557049885,เอเจพี โลจิสติกส์ จำกัด
206,0105554007197,เอ.เจ. ทิพย์สยาม การขนส่ง จำกัด
207,0743566000527,เอ.เจ.ดับบลิว. โลจิสติกส์
208,0133559002914,เอกลักษณ์ โลจิสติกส์
209,0805563000268,อัครไพศาล โลจิสติกส์ จำกัด
210,0195555000315,อัคระวัฒน์ โลจิสติกส์ จำกัด
211,0115566020746,เอแอนด์เค พัฒนา โลจิสติกส์ จำกัด
212,0115563004375,เอกวัฒนา โลจิสติกส์ จำกัด
213,0115565004186,เอเคไอเอ็น อินเตอร์เนชั่นแนล โลจิสติกส์ จำกัด
214,0903564001915,เอ.เค. อินเตอร์เนชั่นแนล โลจิสติกส์
215,0513564000301,อัครพล โลจิสติกส์2021
216,0505559000839,อัครธนินณัฐ โลจิสติกส์   จำกัด
217,0105557176941,เอเคเอส โลจิสติกส์ จำกัด
218,0105546097000,อักษรโลจิสติกส์  จำกัด
219,0115558020601,อาลาดิน โลจิสติกส์ จำกัด
220,0815558000310,อัล อมีน โลจิสติก 2015 จำกัด
221,0215566007013,เอ แลมป์ โกลบอล โลจิสติกส์ จำกัด
222,0205561019927,อลันชัย โลจิสติกส์ จำกัด
223,0205552008829,อัลบาทรอส ลอจิสติกส์ จำกัด
224,0175563000442,อัลคอลิก โลจิสติกส์ จำกัด
225,0105552102877,อัลคอนิคซ์ ลอจิสติกส์ (ประเทศไทย) จำกัด
226,0205562005172,อเล็กกรุ๊ป แอนด์ โลจิสติกส์ จำกัด
227,0125561003193,เอแอลเอ็กซ์เพรสโลจิสติกส์ จำกัด
228,0205560021251,อาลีบาบา โลจิสติกส์ (ไทยแลนด์) จำกัด
229,0205562030711,อัลลิคอร์น โลจิสติกส์ แอนด์ ซัพพลาย จำกัด
230,0303566001306,อลินดา ออร์แกไนซ์ แอนด์ โลจิสติก
231,0363563001178,อลินดารัญ โลจิสติกส์
232,0435557000344,เอไลน์ โลจิสติกส์ จำกัด
233,0505564004341,อลิศา โลจิสติกส์  เซอร์วิส จำกัด
234,0135565011921,ออลเอเบิล โลจิสติกส์ จำกัด
235,0105555137663,ออลล์ คลาส โลจิสติกส์ จำกัด
236,0105563016233,ออล ฟอร์ โพสต์ เอ็กซ์เพรส แอนด์ โลจีสติกส์ จำกัด
237,0105556067758,ออลโกลบอลโลจิสติคส์ จำกัด
238,0105566193799,อัลไลแอนซ์ โลจิสติกส์ โกลบอล จำกัด
239,0125561000437,อัลลิอันซ์ โกลบอล โลจิสติกส์ จำกัด
240,0105565171911,ออล เจแปน โลจิสติก จำกัด
241,0105550091282,ออล โลจิสติกส์ เซ็นเตอร์ จำกัด
242,0355558000179,เอแอลแอล โลจิสติกส์ จำกัด
243,0105555169204,ออล โลจีสติกส์ เอ็นจิเนียริ่ง จำกัด
244,0105562075929,ออล โลจิสติกส์ แพลน จำกัด
245,0575558001467,ซีดีอาร์ อบอร์ด กรุ๊ป จำกัด
246,0105562043504,ออลล์ นาว โลจิสติกส์ จำกัด
247,0135566015548,ออล โปร โลจิสติกส์ จำกัด
248,0205566019861,ออลไรท์ คอนเน๊ค โลจิสติกส์ จำกัด
249,0105561087273,ออล เซอร์วิส โลจิสติกส์ จำกัด
250,0125566011798,ออล สกาย 98 โลจิสติกส์ จำกัด
251,0105550091231,ออล สเปเชียลตี้ โลจิสติกส์  จำกัด
252,0105564130072,ออลล์ สตาร์ โลจิสติกส์ จำกัด
253,0115565023571,ออลล์ ทรัพย์รุ่งเรือง โลจิสติกส์ จำกัด
254,0523566001215,ออลล์ ไทม์ อีสเทิร์น โลจิสติก
255,0105563041491,ออลไทม์ โลจิสติกส์ (2020) จำกัด
256,0745565003729,ออล ไทม์ โลจิสติกส์ จำกัด
257,0115563007111,ออลทรานส์ อินเตอร์โลจิสติกส์ จำกัด
258,0205554005215,ออลล์ ทรานส์( แหลมฉบัง) โลจิสติกส์ 2011 จำกัด
259,0105549036923,ออล - เวย์ โลจิสติกส์ จำกัด
260,0105566068382,แอลลี่ โลจิสติกส์ พร็อพเพอร์ตี้ (ประเทศไทย) จำกัด
261,0415553000471,อัลเพกา ทีเอ็มเอส เอเชีย จำกัด
262,0105544042658,อัลฟ่า โกลบอล โลจิสติกส์ จำกัด
263,0105561020292,อัลฟ่า โลจิสติกส์ จำกัด
264,0105566182959,อัลฟา โลจิสติกส์ โซลูชั่นส์ จำกัด
265,0305556004631,อัลฟ่า โลจิสติกส์ (ไทยแลนด์) จำกัด
266,0135566030806,แอลฟา มูฟ โลจิสติกส์ แอนด์ ซัพพลาย จำกัด
267,0105547094080,อัลฟา เน็ทเวอร์ค โลจิสติกส์ จำกัด
268,0845564007991,อัลฟ่า ทีม โลจิสติคส์ จำกัด
269,0105566201678,อัลฟ่า ไทย มาริไทม์ แอนด์ เทรด โลจิสติกส์ จำกัด
270,0105565189615,อัลฟ่า ทรานส์โลจิสติกส์ จำกัด
271,0105545093990,อัลไพน์ โลจิสติกส์ จำกัด
272,0193549000528,เอ.แอล.พี โลจิสติกส์
273,0105551090760,แอลพ์ส โลจิสติคส์ (ประเทศไทย) จำกัด
274,0105565035014,เอแอลที โลจิสติกส์ จำกัด
275,0105557099131,เอ เอ็ม เอ โลจิสติกส์ จำกัด
276,0125561013555,เอเอ็มเอ โลจิสติกส์ แอนด์ เทรดดิ้ง (ประเทศไทย) จำกัด
277,0903556002771,อามานะห์ โลจิสติกส์
278,0105551133213,อัมรินทร์ โลจิสติกส์ จำกัด
279,0115565006634,อัมรินทร์ ทรานสปอร์ต แอนด์ โลจิสติกส์ จำกัด
280,0105543000676,อมฤต แอนด์ แอสโซซิเอทส์ ลอยีสติคส์  จำกัด
281,0125561024832,อมฤต โลจิสติกส์ จำกัด
282,0105563138690,อมตะ 168 โลจิสติกส์ จำกัด
283,0655552000573,อมตะไอซ์ อินดัสตรี  จำกัด
284,0205563028516,อมตะ อินเตอร์เนชั่นแนล โลจิสติกส์ จำกัด
285,0115555014529,อะเมซ  โลจิสติกส์ จำกัด
286,0215563009660,อเมซซิ่ง แอนด์ เบสท์ โลจิสติคส์ จำกัด
287,0105560059748,อเมซซิ่ง โลจิสติคส์ แอนด์ ซัพพลายเชน จำกัด
288,0105554000028,แอมเบอร์ ไลน์ โลจิสติคส์ จำกัด
289,0645560000161,แอมเบอร์ โลจิสติกส์ จำกัด
290,0955564000481,เอ.เอ็ม เอ็กซ์เพรส โลจิสติกส์ จำกัด
291,0105559170487,อมิโก้ โลจิสติกส์ จำกัด
292,0205566006751,อมิท โลจิสติกส์ จำกัด
293,0205558013123,เอเอ็มแอล โลจิสติกส์ จำกัด
294,0305561007324,เอ เอ็ม โลจิสติกส์ (2559) จำกัด
295,0105553150981,เอ แอนด์ เอ็ม โลจิสติกส์ เอ็นจิเนียริ่ง จำกัด
